Wall time,Step,Value
1579509732,10840,0.435799986
1579509810,10940,0.437700003
1579509825,10960,0.417699993
1579509841,10980,0.403799981
1579509873,11020,0.381499976
1579509935,11100,0.348800004
1579509966,11140,0.356299996
1579509997,11180,0.323499978
1579510060,11260,0.371399999
1579510075,11280,0.303900003
1579510091,11300,0.338200003
1579510153,11380,0.401499987
1579510215,11460,0.409799993
1579510231,11480,0.422299981
1579510277,11540,0.444299996
1579510309,11580,0.451700002
1579510324,11600,0.456599981
1579510340,11620,0.44599998
1579510355,11640,0.443699986
1579510371,11660,0.444099993
1579510386,11680,0.446500003
1579510418,11720,0.441399992
1579510433,11740,0.441100001
1579510511,11840,0.445899993
1579510527,11860,0.366599977
1579510573,11920,0.407099992
1579510589,11940,0.34709999
1579510635,12000,0.351799995
1579510667,12040,0.366899997
1579510729,12120,0.445299983
1579510761,12160,0.405599982
1579510792,12200,0.406599998
1579510823,12240,0.462499976
1579510870,12300,0.437299997
1579510932,12380,0.452799976
1579510948,12400,0.439199984
1579510979,12440,0.461199999
1579511026,12500,0.376800001
1579511088,12580,0.360199988
1579511165,12680,0.380099982
1579511274,12820,0.41169998
1579511290,12840,0.410099983
1579511321,12880,0.370299995
1579511336,12900,0.396999985
1579511352,12920,0.404399991
1579511368,12940,0.409799993
1579511399,12980,0.396799982
1579511447,13040,0.427299976
1579511509,13120,0.471399993
1579511525,13140,0.465299994
1579511587,13220,0.463999987
1579511634,13280,0.370799989
1579511696,13360,0.39139998
1579511743,13420,0.380099982
1579511759,13440,0.412499994
1579511775,13460,0.42809999
1579511790,13480,0.39289999
1579511806,13500,0.377399981
1579511837,13540,0.378099978
1579511852,13560,0.401600003
1579511868,13580,0.409999996
1579511899,13620,0.453500003
1579511915,13640,0.432699978
1579511930,13660,0.467299998
1579511946,13680,0.454400003
1579511977,13720,0.444999993
1579512008,13760,0.425399989
1579512024,13780,0.435900003
1579512133,13920,0.323399991
1579512179,13980,0.380299985
1579512195,14000,0.352400005
1579512211,14020,0.344500005
1579512242,14060,0.388799995
1579512289,14120,0.378399998
1579512320,14160,0.338499993
1579512352,14200,0.386799991
1579512414,14280,0.431400001
1579512474,14360,0.467299998
1579512516,14420,0.48089999
1579512530,14440,0.480499983
1579512544,14460,0.478799999
1579512558,14480,0.471499979
1579512572,14500,0.472299993
1579512643,14600,0.482299984
1579512728,14720,0.446199983
1579512756,14760,0.387199998
1579512770,14780,0.386399984
1579512784,14800,0.413299978
1579512826,14860,0.404599994
1579512869,14920,0.316100001
1579512883,14940,0.321399987
1579512925,15000,0.397899985
1579512940,15020,0.463799983
1579512954,15040,0.421700001
1579512982,15080,0.427100003
1579513010,15120,0.414700001
1579513094,15240,0.456199974
1579513137,15300,0.365799993
1579513151,15320,0.433499992
1579513193,15380,0.338499993
1579513207,15400,0.404799998
1579513222,15420,0.381499976
1579513250,15460,0.309100002
1579513264,15480,0.385699987
1579513349,15600,0.352200001
1579513405,15680,0.399800003
1579513420,15700,0.4542
1579513448,15740,0.420299977
1579513476,15780,0.446500003
1579513505,15820,0.466699988
1579513519,15840,0.468400002
1579513533,15860,0.487099975
1579513547,15880,0.473499984
1579513561,15900,0.469199985
1579513603,15960,0.469899982
1579513632,16000,0.473999977
1579513660,16040,0.456599981
1579513702,16100,0.433299989
1579513731,16140,0.446699977
1579513745,16160,0.361799985
1579513759,16180,0.375799984
1579513815,16260,0.36499998
1579513844,16300,0.435599983
1579513858,16320,0.397199988
1579513886,16360,0.3759
1579513928,16420,0.435000002
1579513984,16500,0.460599989
1579514027,16560,0.472299993
1579514069,16620,0.495299995
1579514083,16640,0.483199984
1579514112,16680,0.491899997
1579514140,16720,0.508000016
1579514168,16760,0.511200011
1579514239,16860,0.512899995
1579514281,16920,0.503399968
1579514295,16940,0.512099981
1579514310,16960,0.485199988
1579514352,17020,0.458799988
1579514466,17180,0.366599977
1579514480,17200,0.423999995
1579514494,17220,0.314500004
1579514522,17260,0.370599985
1579514579,17340,0.403799981
1579514607,17380,0.4639
1579514621,17400,0.34889999
1579514677,17480,0.458999991
1579514706,17520,0.481099993
1579514720,17540,0.440599978
1579514762,17600,0.442699999
1579514790,17640,0.418799996
1579514818,17680,0.432499975
1579514861,17740,0.43779999
1579514889,17780,0.412999988
1579514903,17800,0.483899981
1579514931,17840,0.426299989
1579514945,17860,0.399399996
1579514987,17920,0.45449999
1579515030,17980,0.351799995
1579515044,18000,0.429899991
1579515143,18140,0.3565
1579515157,18160,0.461499989
1579515171,18180,0.409699976
1579515185,18200,0.461899996
1579515213,18240,0.468199998
1579515227,18260,0.437599987
1579515255,18300,0.436999977
1579515269,18320,0.470299989
1579515284,18340,0.432199985
1579515326,18400,0.41869998
1579515340,18420,0.458099991
1579515354,18440,0.351099998
1579515368,18460,0.449299991
1579515397,18500,0.452999979
1579515481,18620,0.452899992
1579515495,18640,0.48969999
1579515537,18700,0.434299976
1579515636,18840,0.403499991
1579515678,18900,0.461400002
1579515778,19040,0.362800002
1579515792,19060,0.460399985
1579515806,19080,0.433499992
1579515834,19120,0.398199975
1579515848,19140,0.474399984
1579515862,19160,0.474699974
1579515905,19220,0.470799983
1579515919,19240,0.473499984
1579515947,19280,0.479299992
1579515975,19320,0.461299986
1579515989,19340,0.358500004
1579516047,19420,0.362800002
1579516062,19440,0.414299995
1579516124,19520,0.397100002
1579516138,19540,0.413999975
1579516152,19560,0.381599993
1579516166,19580,0.461799979
1579516208,19640,0.333499998
1579516222,19660,0.400299996
1579516236,19680,0.4375
1579516280,19740,0.496099979
1579516296,19760,0.404899985
1579516419,19920,0.449699998
1579516481,20000,0.453199983
1579516513,20040,0.443099976
1579516544,20080,0.407199979
1579516559,20100,0.385199994
1579516606,20160,0.378899992
1579516622,20180,0.430500001
1579516653,20220,0.433399975
1579516669,20240,0.347799987
1579516685,20260,0.415699989
1579516700,20280,0.437899977
1579516747,20340,0.426999986
1579516873,20500,0.411799997
1579516905,20540,0.392499983
1579516936,20580,0.365199983
1579516967,20620,0.373599976
1579516983,20640,0.3759
1579516998,20660,0.405099988
1579517030,20700,0.432899982
1579517061,20740,0.428499997
1579517077,20760,0.404799998
1579517093,20780,0.429800004
1579517139,20840,0.415699989
